age	dominant_hand	english_level	familiarity	gender	language	max_touch_points	nationality	screen_height	screen_width	swipe_finger	swipe_hand	timestamp	uid	vendor
19	right	beginner	sometimes	female	en	5	ae	640	360	thumb	right	1583309231	0q1sat7ola2osk0ohdtciaboba	google inc.
19	left	native	rarely	female	en	5	us	869	412	index	right	1583136907	124p7a10vadpv7d0rk37oiv3g5	google inc.
44	left	beginner	rarely	female	en	5	mx	640	360	index	both	1582648583	19hubm5jt63707ejbcnkimlr08	google inc.
18	right	intermediate	never	female	mt	5	mt	892	412	thumb	right	1582555916	20sa5uaiit0t55or9miatm70tv	google inc.
38	right	advanced	rarely	male	es	5	mx	846	412	thumb	both	1582073116	2r7mdfhcjesci8trr5afg2akq5	google inc.
18	right	advanced	sometimes	male	en	5	ca	667	375	thumb	right	1581726141	2sd22gsn7kdnhs3mrmh93j7hvk	apple computer, inc.
25	right	native	rarely	female	en	5	us	896	414	other	right	1582827386	3a064eetjpjpr55674f3qc5t55	apple computer, inc.
19	left	native	rarely	male	en	5	us	869	412	thumb	right	1582557536	3fmgdlooume5t7fu6dula4rn8m	google inc.
22	right	native	often	female	en	5	us	896	414	thumb	right	1583387995	4ikrjsdgdlgfhvsbekfpo8605g	apple computer, inc.
28	right	intermediate	often	female	en	5	ph	892	412	index	right	1579834108	5d7p99g83mp9uuokn00opv8frt	google inc.
31	right	advanced	everyday	male	en	5	my	732	412	index	right	1576849568	5m2nru074arvgl515ga8mu05rl	google inc.
22	left	beginner	sometimes	female	en	5	ph	760	360	thumb	left	1580274801	5v92ebr64nahqa93mh9t65ofda	google inc.
18	right	advanced	rarely	female	en	5	us	823	412	thumb	both	1581656218	6sb7htkpjvrlsumorq05erf1n0	google inc.
22	right	native	rarely	female	en	5	us	869	412	thumb	right	1580919919	74qasquu2u5u5agskrvppvk0eq	google inc.
27	right	intermediate	never	female	en	5	us	896	414	thumb	right	1582048186	86d8ocsf4f9lo4igj1god6iesb	apple computer, inc.
24	right	native	everyday	female	en	5	us	640	360	thumb	right	1581843300	8dcghs01sg6hcpp8i0mrv7d1rs	google inc.
18	right	native	often	female	en	5	us	896	414	thumb	right	1583213505	8k86nv1j6q7rj77qhjbms4n7ju	apple computer, inc.
48	right	native	rarely	female	en	5	us	720	360	index	right	1581047831	8p7n0r2f78cskbmn80tvejfrav	google inc.
18	right	advanced	never	female	en	5	be	740	360	thumb	right	1580469960	9fop7gk38m4cgogpidhgs8n4vl	google inc.
25	right	advanced	everyday	male	en	5	us	736	414	thumb	right	1582603677	9ioga6dl8rfevttp2s35ukpv7d	apple computer, inc.
37	right	native	rarely	female	en	5	us	720	360	index	right	1580564514	a8ubo91lo8u5omoteii578816n	google inc.
23	right	native	rarely	other	en	5	us	812	375	other	right	1580887866	a93hub6aps3ssjd7higq2buf7v	apple computer, inc.
29	right	beginner	never	female	en	5	gb	780	360	thumb	right	1582377529	b75bbqhl2prg5d8fevbs0ffinc	google inc.
30	right	advanced	often	male	tr	5	de	760	360	thumb	right	1576778935	bfe8gsevjmmf0dge23dqrbp9sj	google inc.
20	left	native	rarely	male	en	5	us	896	414	index	left	1582142413	bvblc1hlhbbnhnpfiki4j7ei5e	apple computer, inc.
26	right	native	everyday	male	en	5	us	786	393	thumb	right	1579889128	c40f6124k80b15766rucr8vp4o	google inc.
20	right	intermediate	everyday	female	en	5	al	846	412	thumb	both	1583226604	co6o7mr8qqkgsvdvuduutatc5e	google inc.
27	right	intermediate	rarely	male	es	5	mx	780	360	thumb	both	1581645467	cojvqsqv0old8rv7tfpq7b1k5h	google inc.
19	right	advanced	sometimes	female	en	5	us	896	414	thumb	both	1582910313	d45ttsaepg93mlb770ldedkd7v	apple computer, inc.
19	right	advanced	sometimes	female	en	5	us	896	414	index	both	1582523333	d6fj8gs287jfbnlirbb9mcfvm1	apple computer, inc.
25	right	advanced	sometimes	male	en	5	jm	892	412	thumb	right	1583371066	drv7aoj7pdvdeevvkvasri8ssi	google inc.
18	right	native	often	female	en	5	us	736	414	thumb	right	1583344090	f01q6mintpac81i2kt7fvd50au	apple computer, inc.
28	right	advanced	often	male	en	5	us	736	414	index	right	1580480904	f3lratp81u1m8omcqtmhm3ppv5	apple computer, inc.
21	right	native	everyday	male	en	5	nz	780	360	index	right	1581938607	f6lfusie76tgftok8q6ine7bor	google inc.
28	right	advanced	rarely	female	en	5	ng	892	412	other	both	1582551698	fu3jnt1g8qghfo6eelkjnt9ojr	google inc.
22	right	intermediate	everyday	male	en	5	mx	640	360	thumb	right	1580512446	g6mi1o6bprs44mo5u5f8ef3qdg	google inc.
18	left	beginner	never	female	en	5	gb	667	375	thumb	left	1580049242	g7n7vn7s7ia4d4ce4nc87r37n9	apple computer, inc.
20	right	beginner	sometimes	female	es	5	mx	760	360	thumb	both	1580841535	gjqrnn8ll95rvm42iu0ata5fj5	google inc.
39	right	native	never	female	en	5	us	846	412	index	both	1582134688	gmduf586a93bv9173llhg2844l	google inc.
29	right	advanced	never	female	en	5	za	892	412	other	right	1581961033	gv2r13qfifkdth6umu9lb4j9bh	google inc.
20	right	native	rarely	female	en	5	us	667	375	index	right	1580065295	h0n00dok158qf2d7k1cl6ulos4	apple computer, inc.
50	right	intermediate	everyday	male	en	5	in	640	360	index	right	1583499479	herb2t890e1jpji6ja6abudfil	google inc.
19	right	beginner	rarely	male	en	5	pk	740	360	thumb	right	1581107508	hh4bv0fg35l2e0i595rl29juip	google inc.
23	left	intermediate	never	male	en	5	ph	780	360	index	right	1582073233	htfrh6cu4j66lqe67uqo86ogg7	google inc.
24	right	native	sometimes	male	en	5	gb	780	360	thumb	right	1583595028	iip8h46rs7rhb4o2bn8as180st	google inc.
21	right	advanced	never	female	en	5	za	640	320	thumb	both	1579851355	is5bfseu20up18lpl6k6a5nafe	google inc.
32	right	advanced	rarely	male	fi	5	fi	640	360	thumb	right	1582532827	j705850kl9opcn7838vrtd9rm5	google inc.
20	right	beginner	sometimes	female	en	5	gb	851	393	index	right	1582834596	jq4nvupqihmp5kmd13rlh9i4du	google inc.
39	right	intermediate	everyday	female	en	5	mx	869	412	thumb	right	1580151532	kkcmntsoqsb65bn13djrvlhtm3	google inc.
22	right	intermediate	rarely	male	en	5	mx	748	360	thumb	right	1581917111	le1m98im51pntmmmi6oo7lc0g8	google inc.
21	right	advanced	sometimes	female	en	5	us	896	414	thumb	right	1582750362	mjuldsp4eao328had5hqsppsmu	apple computer, inc.
20	right	advanced	rarely	female	en	5	us	896	414	thumb	right	1582856755	nlk620sb071v3rbolt0ibje7ra	apple computer, inc.
18	right	advanced	sometimes	male	es	5	mx	667	375	thumb	right	1582067272	nmkr5vkio8fvbnrbk8gna22map	apple computer, inc.
40	right	advanced	sometimes	female	en	5	us	570	320	index	right	1579827849	o4f0nj3bltkia49p8gbela3f8h	google inc.
32	right	advanced	everyday	female	en	5	ma	640	360	index	right	1580287098	oqenr0uo2uhlcikklu30mq6igo	google inc.
41	left	beginner	everyday	female	en	5	us	732	412	index	right	1579977887	ouv85pqfdd63m3ksedjuin7seh	google inc.
18	right	advanced	rarely	female	en	5	gb	869	412	index	right	1580502381	q12dm7ien4qlaa4nunha208nah	google inc.
18	right	intermediate	sometimes	male	en	5	in	732	412	index	right	1579794689	q7ki78eo6b4166ec2ta5eosr95	google inc.
24	right	native	never	female	en	5	us	667	375	thumb	right	1582058979	qpg6t56086t5s263ho2o8lopju	apple computer, inc.
27	left	intermediate	rarely	female	en	5	my	760	360	thumb	both	1579937129	r386k89adl3e372j4u62f73equ	google inc.
34	right	native	rarely	female	en	5	us	667	375	thumb	right	1583598506	t7sf3fmcol8tndg0s83gnfrvdo	apple computer, inc.
19	right	advanced	everyday	male	it	5	it	760	360	index	right	1583434565	t87h1u7rktm7h0ar1lvrpu02qt	google inc.
30	left	intermediate	sometimes	male	en	5	mx	846	412	index	both	1583246350	tvo6clenk24njcqgei63plmrkh	google inc.
27	right	beginner	rarely	male	en	5	pk	780	360	thumb	right	1580806310	u0g4uivv8cluuck6kno83kkrdh	google inc.
40	right	advanced	everyday	male	en	5	es	720	360	index	right	1576776988	u4r7e8a4v272dljc3s5imn3ilr	google inc.
28	right	advanced	rarely	female	en	5	ng	892	412	thumb	right	1582737988	ui7cc423a2muf7qq6h8f84v9bc	google inc.
18	right	beginner	rarely	female	en	5	gb	760	360	thumb	right	1581775364	un6l5bp63noioqf7u8t5jocohm	google inc.
22	right	advanced	rarely	male	en	5	mx	732	412	thumb	both	1583685271	uqj0mbspu20f3b2asvgfvvetji	google inc.
18	right	native	rarely	female	en	5	gb	720	360	thumb	right	1582973346	vhh8la63ns6da877r6i2c7ca43	google inc.
23	right	native	sometimes	male	en	5	us	896	414	index	right	1581704894	03ft0n5ol992m393fb9lpc0uqt	apple computer, inc.
18	right	advanced	sometimes	male	en	5	mx	720	360	thumb	right	1580861774	0l6u4kv1aag7b0ok7qaq241sqn	google inc.
21	right	native	sometimes	female	en	5	us	892	412	thumb	right	1580688123	1p98mlj50tua8uah6buchskssj	google inc.
18	right	native	sometimes	female	en	5	sg	896	414	index	right	1582547212	27dqv64ncdpca90ch5d14uv8ru	apple computer, inc.
20	right	intermediate	everyday	male	en	5	us	896	414	thumb	right	1583614311	2c30a5a6amjsgs1ganoo6kg2lb	apple computer, inc.
18	right	intermediate	sometimes	female	en	5	ph	667	375	thumb	right	1583223902	2f7p9ceo2b9gi78euj4tmcko5j	apple computer, inc.
19	right	native	rarely	female	en	5	in	892	412	index	right	1580987822	3skbfobe25jrha6aj7eha1ud5m	google inc.
20	right	intermediate	rarely	female	en	5	ph	760	360	thumb	right	1581463691	3t65lkgnrtv209kmehdm6pdtnv	google inc.
29	right	native	sometimes	female	en	5	ph	846	412	index	right	1582225019	54onsngp4anr4f0jjemaebvtd6	google inc.
35	right	intermediate	rarely	male	en	5	mx	720	360	index	right	1582329801	59ml7c5h48lm07c2plql2teopj	google inc.
18	right	advanced	everyday	female	en	5	mx	760	360	thumb	right	1581446972	6bfal4rai6akka6pthskjgraeb	google inc.
24	right	native	sometimes	female	en	5	us	892	412	index	right	1581382429	75o70ttqamvtga7k6tlmj5grba	google inc.
21	right	beginner	never	female	en	5	bw	780	360	index	right	1580594579	8cjh126th7t8fbo0muegl3t2bo	google inc.
36	right	native	everyday	female	en	5	us	892	412	thumb	right	1583559026	8f5an6pn92bcjff68d2jjicfvb	google inc.
18	right	intermediate	rarely	female	en	5	in	780	360	thumb	right	1582392825	8npfo3sc68tgsalt12n1terk97	google inc.
21	right	native	everyday	female	en	5	us	720	360	thumb	right	1580840604	8u1m0cv0i6oelvil5nknbgae4h	google inc.
29	right	beginner	everyday	female	en	5	us	667	375	thumb	right	1583031669	9lka6a1bk16mj5idhrla6sjl3q	apple computer, inc.
20	left	advanced	often	female	en	5	us	640	360	thumb	both	1581034116	9pmlfh3t2iu6i058t9f9ntatme	google inc.
24	right	advanced	everyday	male	fi	5	in	839	412	thumb	right	1579957420	9qbprvgb5u70g6k019h6mjuoa9	google inc.
18	right	native	rarely	male	en	5	ca	740	360	thumb	right	1580832138	aats6k10q52vtrrm2c2f98onho	google inc.
25	right	advanced	sometimes	male	en	5	in	830	393	thumb	right	1582107645	bi09171bvb0sqb0hgkt09spmpk	google inc.
18	right	native	rarely	female	en	5	gb	667	375	thumb	right	1581240874	cscg0259d07s353vf5e1fqainn	apple computer, inc.
24	right	advanced	sometimes	female	en	5	us	896	414	thumb	right	1581680713	d7bc6kbb13fdl1hqhfeileomet	apple computer, inc.
25	right	advanced	often	male	en	5	my	846	412	other	both	1580315934	dos75clc7q6gp19vfdatjkgjac	google inc.
18	right	advanced	rarely	male	mr	5	in	720	360	index	right	1583063492	dpv0e4urv38qgd65hevlttu3jn	google inc.
18	right	native	rarely	female	ko	5	us	732	412	thumb	right	1581232095	drb8t4sdqqlcfbbl7n5oaquj8i	google inc.
18	right	native	everyday	male	en	5	us	667	375	thumb	right	1579823042	ff3arl8el636cjph4f3il168g4	apple computer, inc.
20	right	beginner	sometimes	female	en	5	ph	640	360	thumb	right	1582013545	fm3oceoht7untd5n94ojnvb4m6	google inc.
40	right	intermediate	rarely	male	en	5	al	786	393	thumb	right	1581256331	g4fu670a6o4gt011dpojgj4ll5	google inc.
18	right	beginner	everyday	male	en	5	fi	720	360	index	right	1579184990	gcjta26df11np5fcv6a7u268ce	google inc.
18	right	advanced	everyday	male	es	5	mx	667	375	thumb	right	1580228474	hi28obrqs13hh1hr4cm8rhhk07	apple computer, inc.
18	right	native	sometimes	female	en	5	us	667	375	thumb	right	1581836296	io3f81o3hmkrctv3eknpuikad6	apple computer, inc.
30	right	beginner	sometimes	female	en	5	de	720	360	thumb	right	1583334818	j597nohd581alcegkin766uubv	google inc.
18	right	intermediate	everyday	male	es	5	do	720	360	other	both	1583334157	j5ckae4oho9ptccidv1h4p0np5	google inc.
19	right	beginner	often	female	en	5	ph	640	360	thumb	both	1580443309	jaajl1cuss3q0ei335261vnnv9	google inc.
33	right	beginner	often	female	en	5	us	760	360	index	right	1583222467	k3ga8qla7bact246kpm6nq2aqo	google inc.
25	right	advanced	everyday	female	en	5	ph	760	360	index	right	1582165609	kfmi3nejcdvpp09s1r8mn886qg	google inc.
18	right	native	often	female	en	5	us	736	414	thumb	right	1580451235	kjeffsigklmi93dnv5stavpkij	apple computer, inc.
19	right	intermediate	often	female	en	5	ph	812	375	thumb	right	1582143690	lf5k3hgnu6fjc740btgpiekvt5	apple computer, inc.
27	right	advanced	rarely	female	en	5	us	896	414	thumb	right	1582133959	lied1d3ra6mfbcc5em8vc32pf9	apple computer, inc.
23	right	advanced	rarely	female	en	5	jm	732	412	thumb	right	1580320601	ln7ccrpj4oqvg6j2tkajmn07bg	google inc.
21	right	native	often	male	en	5	gb	780	360	thumb	right	1581448046	mf6i7kacj98e1pc9uq9u2cqu5j	google inc.
32	right	advanced	rarely	female	en	5	mx	846	412	index	right	1579735730	mfm67dapsdrkdqopth7mi6uvn9	google inc.
21	left	beginner	sometimes	female	en	5	ph	869	412	thumb	both	1581654031	nmvmn2re2gut5ocsh8orgocg5v	google inc.
18	right	beginner	everyday	female	en	5	ph	640	360	thumb	both	1582553642	plk0ke2bra8up082e78p4fqnb0	google inc.
18	right	intermediate	sometimes	male	en	5	mx	780	360	index	right	1581128725	pon0nl4q4uqn3lhjrhte7fekiv	google inc.
18	right	beginner	rarely	female	es	5	mx	640	360	index	both	1579805092	rl4qp0sqshln58m13bs3uoddi6	google inc.
35	right	intermediate	rarely	female	en	5	us	736	414	other	both	1582242779	see4df1u1d35ft6b7d46cq87em	apple computer, inc.
26	right	intermediate	often	female	en	5	ph	846	412	thumb	right	1580128629	sm6b691pljseb8ec95otg73l5j	google inc.
26	right	intermediate	sometimes	male	en	5	ph	720	360	thumb	right	1581937321	srd48una6g1k4tkqj14cbildlq	google inc.
18	right	native	rarely	female	en	5	gb	667	375	thumb	right	1581594756	ta401tjoignfshv44gab3tosjl	apple computer, inc.
24	right	beginner	everyday	female	en	5	ph	640	360	thumb	right	1583462898	tcq1l6a77u5f30dimi9kaqcflg	google inc.
30	right	native	rarely	female	en	5	us	869	412	thumb	both	1581003498	tqu1fk4i2hk46r2vio1p0ehbp8	google inc.
21	right	advanced	often	female	en	5	us	720	360	thumb	right	1580496345	umd65cin6oj2eq14v80gddecut	google inc.
18	right	native	rarely	male	en	5	us	869	412	thumb	right	1580421052	vj0lcbqnbljj65toi2tcqs69bq	google inc.
18	right	advanced	everyday	male	en	5	mx	667	375	index	right	1582090216	vok8nn6asmnfjdsnok55c8g48p	apple computer, inc.
19	right	native	sometimes	female	en	5	us	896	414	index	right	1581553648	03rfss9shetb8h3n7aq70j1sjj	apple computer, inc.
22	right	native	everyday	female	en	5	us	896	414	thumb	right	1583722130	21dadeslkumk72cll4tqlce9t0	apple computer, inc.
18	right	intermediate	sometimes	male	en	5	au	720	360	thumb	both	1580805810	4bmh9ise7qmk3sgdvk597ia17r	google inc.
27	right	advanced	rarely	female	en	5	us	640	360	thumb	right	1581059544	4gjigg7buujmu0se9oqt716323	google inc.
21	right	beginner	sometimes	male	en	5	in	851	393	thumb	right	1579795151	5j0oi6uu3oc682l9g7an8f5fs2	google inc.
27	right	advanced	sometimes	female	en	5	us	823	412	thumb	right	1579739482	bjn01fp1b7hqglrvgc0ldfn3a6	google inc.
24	right	native	often	female	en	5	us	736	414	thumb	left	1583353065	blthbs6v066vdtgjit01460f8t	apple computer, inc.
19	right	native	often	male	en	5	us	812	375	thumb	right	1582919039	d000cqka10b64sv7rhkbhn8ai7	apple computer, inc.
19	right	advanced	sometimes	female	en	5	us	896	414	thumb	right	1581717517	efv60jljub8o6qahg8h9culn3e	apple computer, inc.
18	right	native	rarely	male	en	5	us	869	412	thumb	right	1583698034	g94lb6jl2bivbh9t5m1johmf1k	google inc.
20	right	beginner	everyday	female	en	5	ph	760	360	thumb	both	1580222489	h8nssui4mtaco3ts1i5cu4vc7j	google inc.
18	right	native	rarely	female	en	5	us	736	414	thumb	right	1581139655	hnn5b4k0ampd0ama4hadc3cg0i	apple computer, inc.
18	right	beginner	rarely	female	en	5	us	846	412	thumb	right	1580680269	jqhvdp5iu8o8f98hvco46ouat7	google inc.
31	right	native	rarely	male	es	5	mx	740	360	index	both	1581923537	k5bqdo2qb6tv2lk0fngse9ladc	google inc.
24	left	advanced	everyday	female	en	5	in	720	360	thumb	right	1582711972	l6cf3uum3ucrlsonja81rtdu2i	google inc.
19	right	intermediate	rarely	male	en	5	sg	736	414	index	right	1581662568	n8ek7e2n0lqid777j39gscha51	apple computer, inc.
28	right	advanced	often	female	en	5	jm	869	412	thumb	right	1583282753	p4q2l5eipl5hdhbvfq41esb333	google inc.
